City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
161,Necochea,AR,80.67,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
167,Vao,NC,74.79,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
174,Jawar,IN,73.22,broken clouds,23.0,76.5,Sree balaji
176,Naze,JP,72.52,overcast clouds,28.3667,129.4833,Shishime Hotel
177,Batticaloa,LK,76.42,very heavy rain,7.7102,81.6924,Treatooo Hotel
180,Waingapu,ID,78.91,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
181,Bengkulu,ID,75.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
185,Ponta Do Sol,PT,70.72,light rain,32.6667,-17.1,Hotel do Campo
186,Mbandaka,CD,71.64,overcast clouds,0.0487,18.2603,Guest House Epervier
188,Itoman,JP,75.22,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
194,Hambantota,LK,77.58,moderate rain,6.1241,81.1185,Bungalow 63
199,Qui Nhon,VN,72.32,broken clouds,13.7667,109.2333,Seagull Hotel
201,Saint-Joseph,RE,76.48,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
205,Amahai,ID,78.6,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
207,Tecoanapa,MX,84.96,broken clouds,16.5167,-98.75,Hotel Manglares
208,Toamasina,MG,69.8,scattered clouds,-18.1667,49.3833,Hotel H1
212,Hwange,ZW,76.96,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
215,Nortelandia,BR,91.58,few clouds,-14.4547,-56.8028,Pousada e Restaurante Santana
216,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
219,Xaxim,BR,75.58,broken clouds,-26.9617,-52.5347,Hotel São Luiz
221,Tema,GH,81.21,light rain,5.667,-0.0166,Beulah Royale Hotel Tema
222,Pontian Kecil,MY,78.39,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
224,Celestun,MX,82.67,few clouds,20.8667,-90.4,Posada Lilia
227,Sao Felix Do Xingu,BR,81.43,moderate rain,-6.6447,-51.995,Rio Xingu Camping
229,Nabire,ID,74.98,light rain,-3.3667,135.4833,Hotel Nusantara I
230,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
232,Saint-Philippe,RE,69.39,broken clouds,-21.3585,55.7679,Le four à pain
233,Sinjai,ID,74.97,overcast clouds,-5.1241,120.253,Wisma Sandika
234,Victor Harbor,AU,71.67,overcast clouds,-35.5667,138.6167,McCracken Country Club
235,Najran,SA,70.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
236,Port Augusta,AU,76.66,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
237,Saint-Pierre,RE,77.58,clear sky,-21.3393,55.4781,Alize Plage
239,Samarai,PG,80.78,overcast clouds,-10.6167,150.6667,Nuli Sapi
242,Fare,PF,77.7,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
246,Acari,PE,76.71,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
248,Yulara,AU,72.72,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
251,Hobe Sound,US,83.01,scattered clouds,27.0595,-80.1364,Floridays RV Park
253,Huarmey,PE,68.45,few clouds,-10.0681,-78.1522,Hotel Miramar
254,Kolokani,ML,76.46,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
256,San Quintin,MX,68.14,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
258,Minab,IR,75.52,clear sky,27.1467,57.0801,Bam campground
259,Luganville,VU,82.04,clear sky,-15.5333,167.1667,The Espiritu Hotel
261,Cayenne,GF,73.44,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
264,Grand-Lahou,CI,78.33,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
265,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
271,Vanimo,PG,78.08,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
276,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
278,Colombo,LK,76.95,overcast clouds,6.9319,79.8478,Galle Face Hotel
280,Dzilam Gonzalez,MX,82.67,clear sky,21.2833,-88.9333,posadas
282,Meulaboh,ID,74.48,overcast clouds,4.1363,96.1285,Kost Pria
288,Port Keats,AU,82.9,few clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
289,Roebourne,AU,68.05,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
291,Dicabisagan,PH,76.48,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
293,Phalombe,MW,77.02,overcast clouds,-15.8064,35.6507,RIVONIA
295,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
297,Kutum,SD,68.88,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
301,Pecos,US,80.69,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
302,Itaporanga,BR,87.46,broken clouds,-7.3044,-38.1503,Hotel Rainha do Vale
305,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
307,Bambous Virieux,MU,74.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
308,Namatanai,PG,81.28,light rain,-3.6667,152.4333,Seagulls Inn Namatani
317,Eldorado,BR,74.32,broken clouds,-23.7869,-54.2836,Villa Verde Hotel
319,Port-Gentil,GA,80.56,thunderstorm,-0.7193,8.7815,Fengshui Residence
320,Wanning,CN,74.68,overcast clouds,18.8003,110.3967,Paradise Hotel
322,Pimentel,PE,71.89,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
330,Grand Gaube,MU,74.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
332,Mumford,GH,79.93,few clouds,5.2618,-0.759,Peace Guest House
335,Mersing,MY,75.11,scattered clouds,2.4312,103.8405,Timotel Hotel
338,Isangel,VU,73.51,overcast clouds,-19.55,169.2667,Tanna Lodge
340,Sorong,ID,79.39,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
342,Kulhudhuffushi,MV,80.98,few clouds,6.6221,73.07,Haajy Guest House 1
347,Angoche,MZ,77.38,clear sky,-16.2325,39.9086,Guest House HESADA
348,San Patricio,US,86.94,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
354,Praia,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
355,Santa Maria,BR,74.5,scattered clouds,-29.6842,-53.8069,Hotel Morotin
356,Kieta,PG,81.27,light rain,-6.2167,155.6333,Uruna Bay Retreat
358,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
359,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
362,Coxim,BR,91.04,clear sky,-18.5067,-54.76,Rancho Da Curica
365,Labuhan,ID,77.94,broken clouds,-6.8844,112.2051,DoubleFAG
369,Limpapa,PH,76.98,overcast clouds,7.1197,121.9106,The Ranch ZC
371,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
376,Kroya,ID,76.5,overcast clouds,-7.6331,109.2461,Wisma Legoq Kost
377,Pau Brasil,BR,73.87,overcast clouds,-15.4642,-39.6511,Tina Hotel
378,Nuevo Progreso,MX,87.55,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
382,Mackay,AU,71.69,few clouds,-21.15,149.2,International Lodge Motel
386,San Antonio,US,83.05,broken clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
388,Auki,SB,78.78,overcast clouds,-8.7676,160.7034,Auki Motel
390,Rio Verde De Mato Grosso,BR,89.49,few clouds,-18.9181,-54.8442,Quedas Palace Hotel
391,Dingle,PH,75.0,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
392,Pacho,CO,71.17,overcast clouds,5.1328,-74.1598,Hotel California
398,Veraval,IN,76.14,clear sky,20.9,70.3667,Lords Inn Somnath
402,Santa Rosa,PH,78.78,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
405,Ahuimanu,US,83.91,light rain,21.4447,-157.8378,Paradise Bay Resort
407,Burriana,ES,70.66,overcast clouds,39.889,-0.085,Hotel Beatriz
408,Vinh,VN,68.63,broken clouds,18.6667,105.6667,Vuong Hoan 2
409,Omboue,GA,76.75,light rain,-1.5746,9.2618,Hotel Olako
412,Upata,VE,81.19,light rain,8.0086,-62.3989,Posada Villa Nela
416,Inhuma,BR,79.47,moderate rain,-6.6683,-41.7078,Bom Gosto
417,Teluk Nibung,ID,75.0,light rain,3.001,99.8164,Hotel Assyifa
418,Benito Juarez,MX,73.74,clear sky,19.385,-99.165,Hotel Beverly
419,Nanuque,BR,74.37,overcast clouds,-17.8392,-40.3539,Hotel e Churrascaria Boi na Brasa
